"transaction_id","date","client_id","produit_id","vendeur_id","quantite","prix_unitaire","montant_total","methode_paiement","statut_livraison","delai_livraison_jours","prenom","nom","age","genre","ville","code_postal","date_inscription","nb_commandes_total","montant_depense_total","nom_vendeur","region","anciennete_mois","objectif_mensuel","nom_produit","categorie","prix_achat","stock_actuel","fournisseur"
"TRX00000001",2023-01-01,"CLI00008","PROD0100","VEND007",1,1299.97,1299.97,"CB","Livré",4,"Tania","Dubois",51,"Homme","Rennes",35000,2023-02-03,23,31908.44,"Claire Thomas","Sud",108,52700,"OnePlus Flagship 2","Smartphones",600.02,93,"TechSource"
"TRX00000002",2023-01-01,"CLI00104","PROD0080","VEND014",1,130.8,130.8,"PayPal","Livré",3,"Bob","Laurent",51,"Homme","Bordeaux",33000,2020-10-25,24,21634.96,"Alexandre Garcia","Sud",50,74400,"Adaptateur USB 3","Accessoires",82.09,251,"TechSource"
"TRX00000003",2023-01-01,"CLI00251","PROD0018","VEND002",2,170.35,340.7,"PayPal","Livré",5,"George","Laurent",37,"Femme","Strasbourg",67000,2023-05-08,19,16506.6,"Pierre Dubois","Sud",34,78400,"Webcam HD","Accessoires",97.94,63,"ElectroWorld"
"TRX00000004",2023-01-01,"CLI00228","PROD0039","VEND018",2,735.61,1471.22,"PayPal","Livré",4,"Julia","Bernard",25,"Femme","Lille",59000,2020-11-26,21,19194.54,"Julien Lefebvre","Sud",44,41200,"Galaxy Note Pro 2","Smartphones",299.31,126,"ElectroWorld"
"TRX00000005",2023-01-01,"CLI00122","PROD0096","VEND004",3,140.16,420.48,"PayPal","Livré",4,"Nina","Leroy",35,"Femme","Nantes",44000,2023-01-14,22,18442.06,"Jean Moreau","Ouest",86,67300,"Hub USB-C 4","Accessoires",61.01,195,"TechSource"
"TRX00000006",2023-01-01,"CLI00045","PROD0013","VEND003",1,282.5,282.5,"PayPal","Annulé",0,"Tania","Lefebvre",47,"Homme","Nice",6000,2022-06-28,20,23464.38,"Marie Laurent","Est",35,65000,"Enceinte Portable 1","Audio",174.12,395,"GadgetPro"
"TRX00000007",2023-01-01,"CLI00047","PROD0033","VEND019",3,293.19,879.57,"CB","Livré",4,"Paula","Richard",44,"Femme","Nantes",44000,2022-09-12,18,11796.93,"Manon Fournier","Nord",39,32700,"Microphone Studio 1","Audio",134.82,177,"TechSource"
"TRX00000008",2023-01-01,"CLI00296","PROD0016","VEND001",3,1012.87,3038.61,"Virement","Livré",4,"Laura","Thomas",44,"Homme","Bordeaux",33000,2020-09-12,22,16610.12,"Sophie Martin","Est",92,44600,"All-in-One Pro","Ordinateurs",698.17,109,"TechSource"
"TRX00000009",2023-01-01,"CLI00047","PROD0025","VEND009",1,128.72,128.72,"PayPal","Livré",4,"Paula","Richard",44,"Femme","Nantes",44000,2022-09-12,18,11796.93,"Julie Richard","Ouest",76,42900,"Casque Gaming","Audio",52.28,150,"TechSource"
"TRX00000010",2023-01-01,"CLI00250","PROD0042","VEND014",3,1029.63,3088.89,"CB","Livré",2,"Diana","Lefebvre",43,"Femme","Lille",59000,2021-01-24,28,40402.14,"Alexandre Garcia","Sud",50,74400,"Galaxy Note Pro 3","Smartphones",604,173,"TechSupply"
"TRX00000011",2023-01-01,"CLI00447","PROD0060","VEND005",3,623.75,1871.25,"CB","En cours",4,"Simon","Dubois",21,"Femme","Marseille",13000,2021-03-11,19,19264.57,"Anne Simon","Sud",62,30700,"Pixel Ultra 2","Smartphones",252.16,150,"TechSupply"
"TRX00000012",2023-01-01,"CLI00088","PROD0023","VEND008",1,228.2,228.2,"CB","Livré",5,"Diana","Durand",30,"Homme","Lyon",69000,2020-03-05,23,23501.98,"Marc Robert","Sud",9,36100,"Écouteurs Sport","Audio",185.6,198,"ElectroWorld"
"TRX00000013",2023-01-02,"CLI00058","PROD0016","VEND011",1,1511.21,1511.21,"CB","Livré",5,"Diana","Richard",45,"Homme","Nantes",44000,2021-03-19,19,18498.05,"Emma Durand","Nord",31,50800,"All-in-One Pro","Ordinateurs",698.17,109,"TechSource"
"TRX00000014",2023-01-02,"CLI00334","PROD0005","VEND019",1,1737.28,1737.28,"CB","Livré",1,"Quentin","Richard",36,"Femme","Paris",75000,2023-12-12,25,28038.49,"Manon Fournier","Nord",39,32700,"Mini PC Compact 1","Ordinateurs",735.13,415,"DigitalHub"
"TRX00000015",2023-01-02,"CLI00374","PROD0041","VEND015",1,55.88,55.88,"CB","Livré",4,"Tania","Robert",42,"Femme","Nantes",44000,2022-10-22,21,24021.92,"Camille David","Est",57,55800,"Câble Lightning 2","Accessoires",23.24,211,"DigitalHub"
"TRX00000016",2023-01-02,"CLI00414","PROD0010","VEND002",1,431.25,431.25,"PayPal","Livré",4,"Ivan","Moreau",33,"Femme","Marseille",13000,2023-01-10,19,22354.2,"Pierre Dubois","Sud",34,78400,"Galaxy Note Pro 1","Smartphones",210.66,423,"TechSupply"
"TRX00000017",2023-01-02,"CLI00197","PROD0076","VEND016",1,63.75,63.75,"CB","Livré",8,"George","David",45,"Femme","Toulouse",31000,2022-09-23,24,17473.9,"Nicolas Bertrand","Est",118,51300,"Housse Protection","Accessoires",50.23,330,"ElectroWorld"
"TRX00000018",2023-01-02,"CLI00117","PROD0083","VEND016",1,987.18,987.18,"CB","Livré",6,"Alice","Dubois",53,"Femme","Paris",75000,2022-04-13,17,31702.01,"Nicolas Bertrand","Est",118,51300,"iPhone Max 3","Smartphones",712.62,38,"TechSupply"
"TRX00000019",2023-01-02,"CLI00085","PROD0072","VEND003",3,268.63,805.89,"CB","Annulé",0,"Marc","Bernard",37,"Femme","Strasbourg",67000,2021-03-10,26,29687.47,"Marie Laurent","Est",35,65000,"Microphone Studio 2","Audio",114.27,279,"DigitalHub"
"TRX00000020",2023-01-02,"CLI00002","PROD0021","VEND014",4,812.28,3249.12,"CB","Livré",7,"Oscar","Lefebvre",50,"Homme","Lyon",69000,2023-04-13,18,22837.22,"Alexandre Garcia","Sud",50,74400,"Ultrabook Air 1","Ordinateurs",480.85,476,"TechSupply"
"TRX00000021",2023-01-02,"CLI00067","PROD0034","VEND007",1,479.77,479.77,"PayPal","Livré",4,"Bob","Martin",42,"Homme","Nantes",44000,2021-08-31,24,15202.66,"Claire Thomas","Sud",108,52700,"Ecran 144Hz","Gaming",351.89,361,"TechSource"
"TRX00000022",2023-01-02,"CLI00084","PROD0057","VEND016",1,101.03,101.03,"CB","Livré",3,"Diana","Richard",52,"Homme","Lille",59000,2022-10-30,21,25395.63,"Nicolas Bertrand","Est",118,51300,"Souris Gaming Pro 1","Accessoires",71.04,390,"GadgetPro"
"TRX00000023",2023-01-02,"CLI00075","PROD0077","VEND002",2,532.75,1065.5,"CB","Livré",3,"Paula","Laurent",48,"Homme","Nice",6000,2022-01-07,18,14492.11,"Pierre Dubois","Sud",34,78400,"OnePlus Flagship 1","Smartphones",223.7,419,"TechSupply"
"TRX00000024",2023-01-02,"CLI00154","PROD0028","VEND004",2,204.41,408.82,"CB","Livré",4,"Fanny","Laurent",35,"Homme","Rennes",35000,2023-02-14,20,23225.07,"Jean Moreau","Ouest",86,67300,"Casque Gaming 1","Audio",164.45,84,"TechSource"
"TRX00000025",2023-01-02,"CLI00171","PROD0094","VEND016",1,580.73,580.73,"CB","Livré",2,"George","Leroy",22,"Homme","Lille",59000,2023-12-26,18,10991.99,"Nicolas Bertrand","Est",118,51300,"Casque Bluetooth Pro 1","Audio",286.39,366,"TechSupply"
"TRX00000026",2023-01-03,"CLI00453","PROD0054","VEND004",4,59.96,239.84,"Virement","Livré",3,"Charlie","Garcia",28,"Femme","Nice",6000,2020-01-15,17,21257.29,"Jean Moreau","Ouest",86,67300,"Webcam HD 3","Accessoires",29.36,112,"ElectroWorld"
"TRX00000027",2023-01-03,"CLI00478","PROD0024","VEND004",4,1897.23,7588.92,"CB","Livré",4,"Ethan","Richard",48,"Femme","Nice",6000,2021-02-18,22,27814.97,"Jean Moreau","Ouest",86,67300,"Mini PC Compact 2","Ordinateurs",759.84,66,"GadgetPro"
"TRX00000028",2023-01-03,"CLI00469","PROD0089","VEND010",1,2051.11,2051.11,"CB","Livré",5,"Diana","Bernard",33,"Homme","Lille",59000,2023-02-10,21,42824.9,"Luc Petit","Sud",7,37500,"Desktop Gaming X","Ordinateurs",1015.43,47,"GadgetPro"
"TRX00000029",2023-01-03,"CLI00330","PROD0053","VEND010",4,446.33,1785.32,"CB","Livré",4,"Hannah","Dubois",29,"Homme","Marseille",13000,2021-11-22,22,21979.87,"Luc Petit","Sud",7,37500,"Clavier Gaming RGB","Gaming",281.83,279,"GadgetPro"
"TRX00000030",2023-01-03,"CLI00120","PROD0015","VEND002",2,119.24,238.48,"PayPal","Livré",5,"Marc","Michel",54,"Homme","Toulouse",31000,2021-08-31,23,29297.89,"Pierre Dubois","Sud",34,78400,"Câble Lightning","Accessoires",62.64,120,"TechSupply"
"TRX00000031",2023-01-03,"CLI00264","PROD0063","VEND003",1,550.7,550.7,"CB","Livré",1,"Hannah","Simon",38,"Femme","Paris",75000,2020-11-15,16,9267.48,"Marie Laurent","Est",35,65000,"Xiaomi Pro","Smartphones",419.86,493,"DigitalHub"
"TRX00000032",2023-01-03,"CLI00487","PROD0095","VEND015",5,660.46,3302.3,"Virement","Livré",4,"Charlie","Bernard",36,"Homme","Bordeaux",33000,2023-07-24,20,36271.66,"Camille David","Est",57,55800,"Pixel Ultra 5","Smartphones",447.98,38,"TechSupply"
"TRX00000033",2023-01-03,"CLI00264","PROD0037","VEND008",1,219.35,219.35,"CB","Livré",4,"Hannah","Simon",38,"Femme","Paris",75000,2020-11-15,16,9267.48,"Marc Robert","Sud",9,36100,"Carte Capture 1","Gaming",106.41,329,"TechSource"
"TRX00000034",2023-01-03,"CLI00061","PROD0094","VEND019",1,465.28,465.28,"Virement","Livré",3,"Simon","Michel",46,"Homme","Bordeaux",33000,2023-11-25,19,13024.32,"Manon Fournier","Nord",39,32700,"Casque Bluetooth Pro 1","Audio",286.39,366,"TechSupply"
"TRX00000035",2023-01-03,"CLI00422","PROD0019","VEND009",1,1165.29,1165.29,"CB","Livré",1,"George","Garcia",30,"Femme","Bordeaux",33000,2022-11-14,27,21121.54,"Julie Richard","Ouest",76,42900,"iPhone Max 1","Smartphones",635.59,482,"DigitalHub"
"TRX00000036",2023-01-03,"CLI00343","PROD0023","VEND015",1,415.18,415.18,"CB","Livré",3,"Hannah","Durand",30,"Homme","Nice",6000,2020-03-14,21,21517.57,"Camille David","Est",57,55800,"Écouteurs Sport","Audio",185.6,198,"ElectroWorld"
"TRX00000037",2023-01-03,"CLI00151","PROD0037","VEND013",5,157.31,786.55,"PayPal","Livré",5,"Nina","Richard",50,"Homme","Toulouse",31000,2020-07-30,19,22069.94,"Laura Michel","Sud",21,56100,"Carte Capture 1","Gaming",106.41,329,"TechSource"
